test_id,gas,oil,water,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7,Peak 8,Peak 9,Peak 10,Peak 11,Peak 12,Peak 13,Peak 14,Peak 15,Peak 16,Peak 17,Peak 18,Peak 19,Peak 20,Peak 21,Peak 22,Peak 23,Peak 24,Peak 25,Peak 26,Peak 27,Peak 28,Peak 29,Peak 30,Peak 31,Peak 32,Peak 33,Peak 34,Peak 35,Peak 36,Peak 37,Peak 38,Peak 39,Peak 40,Peak 41,Peak 42,Peak 43,Peak 44,Peak 45,Peak 46,Peak 47,Peak 48,Peak 49,Peak 50,Peak 51,Peak 52,Peak 53,Peak 54,Peak 55,Peak 56,Peak 57,Peak 58,Peak 59,Peak 60,Peak 61,Peak 62,Peak 63,Peak 64,Peak 65,Peak 66,Peak 67,Peak 68
O_05,0,49.70694231,0.291781356,455.0086628,910.0206289,7.026051224,4635.059897,2277.567011,5235.693133,3415.955776,4295.120578,2658.186076,5818.148485,3815.380347,7971.664566,15836.53778,1645.95903,14804.42836,10249.19524,12526.06857,455.0086628,910.0206289,1332.323634,0.009909804,4643.152903,2765.1492,3558.967464,3203.912391,17561.4284,10694.4956,4289.782496,5028.396544,17153.45497,1733.588125,7761.857494,5965.659225,13970.84866,210.1307929,17514.22139,4643.152903,910.0206289,4197.855849,4981.909652,7761.857494,10867.17064,17176.92799,2379.628085,2924.452607,1331.567186,5520.015327,13970.84866,3420.207082,1689.010523,16228.20297,455.0086628,17602.11806,910.0206289,2765.1492,1968.196135,4643.152903,109.1796169,1582.6552,5826.789835,4280.140257,7298.408981,16501.90846,10887.31066,16124.72149,6572.311016,2335.760685,17998.1766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O_07,0,26.26428839,0.165833295,455.1474001,910.2948002,0.009909804,2274.90788,3412.844097,5688.211132,7963.148741,15836.58072,10237.41248,13291.48863,12512.52186,14788.66186,5344.060146,19337.37103,17064.54751,6825.001115,4908.765387,455.1474001,910.2948002,0.01651634,4659.35213,3412.844097,1288.981454,7765.616613,5688.211132,10872.85556,4040.745812,13979.03746,1642.206517,14860.75569,12470.38868,17082.77825,13559.1029,10237.18126,210.1737354,4660.098669,910.2948002,7766.363151,10872.85556,13979.03746,17083.92448,19328.37293,1683.259533,2948.830726,7125.509323,13208.18021,3450.375829,2536.351639,16264.05995,4217.097385,11514.85893,455.1474001,910.2948002,0.013213072,1976.688837,1642.206517,19328.37623,17296.98527,18309.47658,3330.351583,2754.099769,7601.483828,7135.630536,9154.796098,11193.42121,4575.779447,8738.891522,2326.448772
O_08,2.76900135,20.94901782,0.027509741,455.2002524,910.3972015,0.036335949,2277.173922,3415.684908,11250.14163,8750.109421,13750.17383,3750.04831,6250.080517,4958.747136,16250.20604,5692.86874,1332.647355,18750.23825,19355.87924,7969.547171,455.1969491,910.3972015,0.059458826,4658.767452,2458.71493,3415.684908,7764.328338,1332.647355,3750.04831,11250.14163,13975.63179,10870.23937,5041.378388,8750.109421,5692.36334,17081.77736,6250.080517,210.1968583,4658.767452,2458.71493,1332.647355,7764.328338,3750.04831,11250.14163,5041.378388,8750.109421,13750.17383,6250.080517,10870.0643,16250.20604,17081.33142,19323.20001,18750.23825,7130.497257,455.1969491,910.3972015,0.009909804,2458.71493,1583.441378,3750.04831,19323.20001,1966.964016,4958.747136,17292.93877,11250.14163,1250.016103,8750.109421,6250.080517,13750.17383,18309.7012,5611.456394
W_00b,0,0.094361207,0.146673929,443.3349134,886.6698268,0.026426145,2276.321679,3414.181921,1226.632269,5689.023736,13424.15449,7965.507275,10241.35659,12518.80468,14795.12636,4260.416443,17069.33064,19343.28718,6828.476153,5326.159736,443.3349134,886.6698268,0.052852289,1226.632269,4660.746109,7767.4235,3413.39244,10875.12821,4251.834553,13981.53473,17089.56316,1598.993164,5690.381379,13560.75453,14847.14953,10242.79351,12518.80468,443.3349134,0.006606536,886.6698268,4660.746109,7767.4235,10875.12821,13981.27047,17089.56316,19299.06303,7164.989983,1553.421277,13118.02412,3107.159668,2425.986149,12702.16248,16320.78036,5005.210905,886.6698268,443.3349134,0.042942485,19299.06303,1226.632269,17317.06584,18307.39222,7600.314471,7164.989983,9153.758871,11142.89773,1905.480287,8738.207746,4605.885433,15200.50672,14130.97788,13336.07615
W_00,0,0,3.370359381,443.3778559,886.7557118,0.039639217,2276.628883,3414.608042,1226.701637,5691.154344,7967.555301,10244.84484,17074.05762,4264.324209,12521.46711,13424.04218,14795.73416,19348.78712,6829.338306,4940.767448,443.3778559,886.7557118,0.049549021,1226.701637,4661.268026,3414.608042,7768.440907,10876.81287,1598.689263,13984.76533,4137.508444,17093.20997,5691.16095,12463.93079,12798.9053,2276.318376,13558.41912,443.3778559,0.019819609,886.7557118,4661.268026,7768.440907,10876.81287,13984.76533,17093.20997,19279.90738,7204.96283,13115.76799,1553.910161,3107.407414,12700.42166,11510.03946,2425.332102,16311.67656,443.3778559,886.7557118,0.023122877,1226.704941,19279.90738,17331.14106,7599.35322,18305.9586,9153.022243,7201.946946,11098.38949,15198.4653,12266.31608,14158.17039,3113.861999,8737.329077,15624.54394
W_01b,0,0,9.905158436,445.8354873,0.009909804,891.8262283,2462.483959,3415.55608,8750.112724,6250.080517,3750.04831,4962.516165,11250.14493,5693.291558,1325.115903,7969.543868,16250.21265,13750.18044,18750.24485,10246.64512,446.8231645,0.072671898,2462.483959,891.8130152,4659.395073,3415.55608,16583.54873,15881.5349,15413.69964,7766.455643,16251.10783,10871.9901,15039.02646,13979.17289,3750.04831,17085.9659,13483.33914,0.039639217,2462.483959,446.2450926,4659.395073,7765.692588,3750.04831,5037.612662,1325.115903,10871.9901,17555.32726,6250.080517,8750.112724,13979.17289,17085.33167,11250.14493,15684.5379,19049.26329,0.009909804,2462.483959,446.2450926,4806.264978,4330.709988,5731.596255,6250.080517,10216.89589,3750.04831,10930.86425,1325.1126,8750.112724,15999.53094,7614.961162,19361.81852,891.8130152,15002.14547
W_01c,0,0,4.289969187,443.3217003,886.6467039,6.996321811,2462.480655,3412.444402,5037.612662,1325.115903,11250.14163,8750.109421,6250.080517,3825.14811,16250.20604,13750.17383,5687.170602,7963.455945,18750.23825,19337.49986,443.3217003,886.6467039,0.089188238,2462.480655,4659.916989,1226.589326,7766.148439,3412.279238,13979.08701,10872.51532,12795.55909,4214.220239,17085.74128,3825.14811,5037.612662,1600.017177,5687.170602,443.3217003,0.019819609,886.6467039,2462.480655,4659.916989,1325.115903,7766.148439,3825.14811,10872.70031,5037.612662,13979.08701,8750.109421,6250.080517,17085.74128,11250.14163,16250.20604,19326.94591,886.6467039,443.3217003,0.006606536,2462.480655,1325.115903,4962.512862,3674.94851,7601.533377,19328.85851,17289.51328,18309.36097,8750.109421,11250.14163,6250.080517,13750.17383,16250.20604,7114.938865
W_01,0,0,9.999462303,443.3217003,886.6434006,0.019819609,2462.480655,3674.94851,1325.115903,5037.612662,6250.080517,8750.112724,16250.20604,11250.14163,13750.17383,18750.23825,5683.973039,9962.577276,7956.773434,13290.98984,443.3217003,886.6434006,0.006606536,2462.480655,1226.592629,4657.558455,3674.94851,7762.461992,17078.10412,5037.612662,4207.009205,10867.04511,13972.86696,1600.01057,6250.080517,8750.112724,11250.14163,443.3217003,0.009909804,886.6434006,2462.480655,4657.839233,1325.115903,3674.94851,5037.612662,7762.461992,17078.10412,10868.2442,6250.080517,8750.112724,13972.86696,16250.20604,11250.14163,18750.23825,443.3217003,886.6434006,2462.480655,0.029729413,1325.115903,3674.94851,4962.512862,6250.080517,8750.112724,11250.14163,19362.13893,17248.81041,13750.17383,16250.20604,10037.67708,18312.29427,7603.561584
W_02,0,0,20.00084744,443.305184,886.610368,0.006606536,1226.569507,2462.483959,8750.112724,3674.94851,6250.080517,11250.14493,16250.20934,5037.612662,13750.17714,18750.24155,5679.883593,7952.205014,12493.10525,10222.70964,443.305184,886.610368,1226.569507,0.009909804,2462.483959,4657.254555,3674.94851,1599.861923,8750.112724,6250.080517,7763.304325,5037.612662,4206.820918,11250.14493,10867.49766,13973.87115,17077.79692,443.305184,0.006606536,886.610368,2462.483959,4657.254555,1325.115903,3674.94851,8750.112724,6250.080517,5037.612662,7763.304325,11250.14493,13750.17714,16250.20934,10866.23581,17077.79692,18750.24155,443.305184,886.610368,0.013213072,2462.483959,1325.115903,3674.94851,6250.080517,8750.112724,5037.612662,11250.14493,7605.77147,16250.20934,13750.17714,1693.816778,19444.82634,17186.46453,18750.24155
