test_id,gas,oil,water,ch1_p1,ch1_p2,ch1_p3,ch1_p4,ch1_p5,ch1_p6,ch1_p7,ch1_p8,ch1_p9,ch1_p10,ch1_p11,ch1_p12,ch1_p13,ch1_p14,ch1_p15,ch1_p16,ch1_p17,ch2_p1,ch2_p2,ch2_p3,ch2_p4,ch2_p5,ch2_p6,ch2_p7,ch2_p8,ch2_p9,ch2_p10,ch2_p11,ch2_p12,ch2_p13,ch2_p14,ch2_p15,ch2_p16,ch2_p17,ch4_p1,ch4_p2,ch4_p3,ch4_p4,ch4_p5,ch4_p6,ch4_p7,ch4_p8,ch4_p9,ch4_p10,ch4_p11,ch4_p12,ch4_p13,ch4_p14,ch4_p15,ch4_p16,ch4_p17
GW_503C1,3.835235838,0,39.99849136,6.798125726,451.6921817,2270.67309,1343.17487,6250.080517,3406.247471,4953.48503,3750.04831,8750.112724,11250.14493,7453.517237,2732.929123,5677.832263,13750.17714,18750.23825,16250.20604,5326.116794,40.71277919,451.7483372,2453.452824,4657.964757,1343.17487,3750.04831,3406.247471,7763.350571,6250.080517,13974.49877,10868.73638,5046.643797,863.0910992,17079.12814,1791.028654,5677.128667,8750.112724,1965.094366,188.1178144,1576.630039,1189.477109,5845.644889,3496.08315,2851.456989,2340.074753,3846.639172,5396.912435,565.1726536,5064.038807,4381.454792,11059.04757,15055.15632,8175.839567,8984.73725
GW_503C2,3.73838161,0,39.98092871,6.712240755,451.1207163,2270.983598,1343.217813,3406.432454,6250.080517,4953.461908,8750.112724,3750.04831,11250.14493,2733.038131,7453.494114,5677.359896,7948.112265,13750.17714,16250.20604,18750.23825,315.8617979,874.5996852,1218.241968,2453.429701,4658.156347,3406.432454,7763.479398,3750.04831,13974.70688,1762.151485,6250.080517,10868.9577,17080.26776,5677.359896,8750.112724,5046.66692,4217.599482,1967.324072,188.4382314,1582.232382,2842.782607,3457.315996,1190.405328,5833.399674,562.837243,2299.457769,5311.394128,3846.384821,8186.879089,9289.011183,11066.8631,4384.222931,4750.274584,6356.138546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW_504C1,7.283556238,0,39.99978528,6.834461675,2271.406416,455.6065543,1342.464667,6250.080517,8750.112724,3750.04831,11250.14493,3406.82224,2731.151965,4953.841783,13750.17714,5678.48631,16250.20934,7546.319251,18750.24155,14761.90209,39.61939745,1181.843257,455.6065543,4657.865659,2453.809577,7761.827764,3750.04831,3406.769387,10866.68175,6250.080517,13972.41771,5046.287044,8750.112724,5677.947878,17077.28491,1738.628913,4239.889935,1974.726696,124.5232971,1582.476823,1181.843257,5852.419892,3476.755728,565.0570392,2823.223957,3858.474782,2323.664117,5106.158778,8049.443317,5437.51951,6698.049916,4479.039938,11039.41294,14763.78165
GW_504C2,7.362507653,0,40.00173444,6.887313964,2454.787344,455.6230707,1340.505829,6250.080517,5045.309277,8750.112724,3750.04831,3407.182296,11250.14493,5678.545769,7454.851758,13750.17714,16250.20604,18750.23825,4683.350373,12492.58334,13.79114427,1198.062303,2454.787344,455.4744236,4658.565952,3407.182296,853.5809904,7764.437346,1744.264288,6250.080517,3750.04831,5045.309277,10870.31535,13976.48073,5678.955374,17081.05394,8750.112724,1966.042404,1589.988455,122.082182,1177.829786,5842.536513,574.1542395,3832.127916,2297.878806,3476.659934,3114.985111,4444.560426,5346.696154,2777.658677,14754.61508,4938.091801,6704.828222,8039.153637
GW_504,7.408245064,0,40.0004718,6.860887819,2457.575302,455.811357,5042.521318,11250.14493,8750.112724,6250.080517,3750.04831,1334.929913,13750.17714,3406.062488,7542.553525,16250.20934,5677.349986,4702.872687,7947.042006,18495.50673,0.006606536,2457.575302,455.811357,4657.333833,1334.929913,5042.521318,3750.04831,7762.098632,3406.006332,10866.77094,6250.080517,8750.112724,13972.12372,11250.14493,17076.40624,1737.948439,12500.26344,25.02225577,14866.48356,5603.624346,5080.238033,2457.575302,15932.72895,8900.124038,4545.376168,1555.373509,6836.04394,1972.302097,7391.224208,15216.78853,5938.658312,14248.17453,16314.86091,8454.932688
GW_505,9.929639205,0,43.34490354,6.074710014,2269.952978,1343.214509,3404.972409,6250.080517,8750.112724,5046.663617,3750.04831,11250.14493,7546.695824,5675.209468,13750.17714,459.7125166,2733.028221,16250.20934,10215.35326,7945.238422,32.79484558,4657.053055,2453.433004,1343.214509,3404.972409,7760.714563,5046.663617,3750.04831,6250.080517,10865.22171,459.7125166,13970.25407,1788.954202,5674.674339,8750.112724,17074.67203,16129.66649,28.54684282,14856.07165,4549.809154,15939.0547,5594.160483,5122.149899,6718.22958,15186.77834,14253.46967,1870.75303,2453.433004,13877.67668,16358.0148,5925.541034,7708.519624,1343.214509,687.4398186
G_00,0,0,0,500.3526239,9.064167634,1000.751493,2458.724839,4958.757046,1332.630838,6250.080517,8750.112724,3667.433575,11250.14493,13750.17714,5683.209984,5289.212683,16250.20934,7955.888158,7458.789253,12503.06461,500.37905,1000.76801,0.009909804,2458.724839,4658.968951,1332.630838,7763.842758,5041.371781,3667.433575,10870.4739,6250.080517,13975.15282,8750.112724,17082.03501,5683.209984,11250.14493,4046.500105,500.37905,82.52224338,2458.724839,1332.630838,4958.757046,3750.04831,6250.080517,8750.112724,11250.14493,17161.0657,19477.59476,13750.17714,5289.212683,18318.28309,7458.789253,5837.010146,4080.503947
G_01,44.22999458,0,0,500.2072801,1000.417863,7.214337505,1347.697044,2276.979029,6250.080517,8750.112724,11250.14493,3750.04831,3416.761773,2744.23621,4951.222292,13750.17714,7451.254499,7013.670575,16250.20934,9951.286706,500.2072801,1000.417863,0.019819609,1347.697044,2451.190085,4658.975557,3750.04831,6913.01339,6250.080517,3416.761773,10869.44659,7764.07729,8750.112724,17080.9086,11250.14493,13975.82668,4140.775376,500.2072801,6993.940155,0.01651634,1347.697044,3597.358046,2451.190085,1852.205179,4951.222292,6250.080517,5749.311682,1000.417863,8750.112724,7451.254499,11250.14493,19426.85656,17202.06917,13750.17714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
