test_id,gas,oil,water,ch1_p1,ch1_p2,ch1_p3,ch1_p4,ch1_p5,ch1_p6,ch1_p7,ch1_p8,ch1_p9,ch1_p10,ch1_p11,ch1_p12,ch1_p13,ch1_p14,ch1_p15,ch1_p16,ch1_p17,ch2_p1,ch2_p2,ch2_p3,ch2_p4,ch2_p5,ch2_p6,ch2_p7,ch2_p8,ch2_p9,ch2_p10,ch2_p11,ch2_p12,ch2_p13,ch2_p14,ch2_p15,ch2_p16,ch2_p17,ch4_p1,ch4_p2,ch4_p3,ch4_p4,ch4_p5,ch4_p6,ch4_p7,ch4_p8,ch4_p9,ch4_p10,ch4_p11,ch4_p12,ch4_p13,ch4_p14,ch4_p15,ch4_p16,ch4_p17
O_08,2.76900135,20.94901782,0.027509741,455.2002524,910.3972015,0.036335949,2277.173922,3415.684908,11250.14163,8750.109421,13750.17383,3750.04831,6250.080517,4958.747136,16250.20604,5692.86874,1332.647355,18750.23825,19355.87924,7969.547171,455.1969491,910.3972015,0.059458826,4658.767452,2458.71493,3415.684908,7764.328338,1332.647355,3750.04831,11250.14163,13975.63179,10870.23937,5041.378388,8750.109421,5692.36334,17081.77736,6250.080517,455.1969491,910.3972015,0.009909804,2458.71493,1583.441378,3750.04831,19323.20001,1966.964016,4958.747136,17292.93877,11250.14163,1250.016103,8750.109421,6250.080517,13750.17383,18309.7012,5611.456394
W_00b,0,0.094361207,0.146673929,443.3349134,886.6698268,0.026426145,2276.321679,3414.181921,1226.632269,5689.023736,13424.15449,7965.507275,10241.35659,12518.80468,14795.12636,4260.416443,17069.33064,19343.28718,6828.476153,5326.159736,443.3349134,886.6698268,0.052852289,1226.632269,4660.746109,7767.4235,3413.39244,10875.12821,4251.834553,13981.53473,17089.56316,1598.993164,5690.381379,13560.75453,14847.14953,10242.79351,12518.80468,886.6698268,443.3349134,0.042942485,19299.06303,1226.632269,17317.06584,18307.39222,7600.314471,7164.989983,9153.758871,11142.89773,1905.480287,8738.207746,4605.885433,15200.50672,14130.97788,13336.07615
W_00,0,0,3.370359381,443.3778559,886.7557118,0.039639217,2276.628883,3414.608042,1226.701637,5691.154344,7967.555301,10244.84484,17074.05762,4264.324209,12521.46711,13424.04218,14795.73416,19348.78712,6829.338306,4940.767448,443.3778559,886.7557118,0.049549021,1226.701637,4661.268026,3414.608042,7768.440907,10876.81287,1598.689263,13984.76533,4137.508444,17093.20997,5691.16095,12463.93079,12798.9053,2276.318376,13558.41912,443.3778559,886.7557118,0.023122877,1226.704941,19279.90738,17331.14106,7599.35322,18305.9586,9153.022243,7201.946946,11098.38949,15198.4653,12266.31608,14158.17039,3113.861999,8737.329077,15624.54394
W_01b,0,0,9.905158436,445.8354873,0.009909804,891.8262283,2462.483959,3415.55608,8750.112724,6250.080517,3750.04831,4962.516165,11250.14493,5693.291558,1325.115903,7969.543868,16250.21265,13750.18044,18750.24485,10246.64512,446.8231645,0.072671898,2462.483959,891.8130152,4659.395073,3415.55608,16583.54873,15881.5349,15413.69964,7766.455643,16251.10783,10871.9901,15039.02646,13979.17289,3750.04831,17085.9659,13483.33914,0.009909804,2462.483959,446.2450926,4806.264978,4330.709988,5731.596255,6250.080517,10216.89589,3750.04831,10930.86425,1325.1126,8750.112724,15999.53094,7614.961162,19361.81852,891.8130152,15002.14547
W_01c,0,0,4.289969187,443.3217003,886.6467039,6.996321811,2462.480655,3412.444402,5037.612662,1325.115903,11250.14163,8750.109421,6250.080517,3825.14811,16250.20604,13750.17383,5687.170602,7963.455945,18750.23825,19337.49986,443.3217003,886.6467039,0.089188238,2462.480655,4659.916989,1226.589326,7766.148439,3412.279238,13979.08701,10872.51532,12795.55909,4214.220239,17085.74128,3825.14811,5037.612662,1600.017177,5687.170602,886.6467039,443.3217003,0.006606536,2462.480655,1325.115903,4962.512862,3674.94851,7601.533377,19328.85851,17289.51328,18309.36097,8750.109421,11250.14163,6250.080517,13750.17383,16250.20604,7114.938865
W_01,0,0,9.999462303,443.3217003,886.6434006,0.019819609,2462.480655,3674.94851,1325.115903,5037.612662,6250.080517,8750.112724,16250.20604,11250.14163,13750.17383,18750.23825,5683.973039,9962.577276,7956.773434,13290.98984,443.3217003,886.6434006,0.006606536,2462.480655,1226.592629,4657.558455,3674.94851,7762.461992,17078.10412,5037.612662,4207.009205,10867.04511,13972.86696,1600.01057,6250.080517,8750.112724,11250.14163,443.3217003,886.6434006,2462.480655,0.029729413,1325.115903,3674.94851,4962.512862,6250.080517,8750.112724,11250.14163,19362.13893,17248.81041,13750.17383,16250.20604,10037.67708,18312.29427,7603.561584
W_02,0,0,20.00084744,443.305184,886.610368,0.006606536,1226.569507,2462.483959,8750.112724,3674.94851,6250.080517,11250.14493,16250.20934,5037.612662,13750.17714,18750.24155,5679.883593,7952.205014,12493.10525,10222.70964,443.305184,886.610368,1226.569507,0.009909804,2462.483959,4657.254555,3674.94851,1599.861923,8750.112724,6250.080517,7763.304325,5037.612662,4206.820918,11250.14493,10867.49766,13973.87115,17077.79692,443.305184,886.610368,0.013213072,2462.483959,1325.115903,3674.94851,6250.080517,8750.112724,5037.612662,11250.14493,7605.77147,16250.20934,13750.17714,1693.816778,19444.82634,17186.46453,18750.24155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_04,0,0,39.9906203,443.2886676,886.574032,6.847674747,2462.483959,1226.54308,3825.14811,3410.171753,4962.516165,6250.080517,8750.112724,16250.21265,11250.14823,13750.18044,18750.24485,5684.072137,9962.580579,7957.32508,443.2886676,886.574032,0.006606536,1226.54308,2462.483959,1826.581729,3560.88336,4657.578275,2937.137157,7762.670098,10867.47454,5037.615965,6250.080517,12788.65856,13972.41441,17077.93235,8750.112724,886.574032,443.2886676,2462.483959,112.73063,1543.448711,2815.675989,3576.844751,1874.730164,4962.516165,4412.835839,6250.080517,3197.058109,8750.112724,17180.35348,4049.843012,19449.93649,5691.884366
W_05,0,0,50.00203841,443.3018807,6.956682594,886.6070647,2462.483959,3676.669513,4962.516165,8750.112724,6250.080517,1226.579416,11250.14493,16250.21265,4048.039428,13750.17714,18750.24485,5319.034587,5687.917141,7961.939745,443.3018807,886.6037614,0.006606536,3704.383932,2462.483959,1463.608721,2938.088498,4513.020657,1800.542066,3370.552356,4962.516165,4144.181046,7764.704911,6250.080517,13975.15942,10872.09581,8750.112724,443.3018807,0.006606536,886.6070647,3704.383932,1540.323819,2462.483959,4413.278477,4051.151106,2813.763397,4791.278051,6241.1683,5668.186721,15846.35509,1871.635002,3228.511828,16472.09647,10159.14815
W_501C3,0,0,50.00117203,548.7157719,166.3955234,892.328325,4817.030329,3524.028798,3867.925432,2269.774602,1814.633808,5202.865255,5836.673213,3058.591718,2710.731162,1225.125978,7943.804803,8625.757894,10213.9791,12484.37141,446.1625109,1210.951655,872.8159204,1743.388922,3587.963552,4484.153397,111.1946104,4153.532597,2189.68026,5119.586563,5534.665321,5912.298232,6614.510266,3215.985836,2734.950723,7549.863658,14894.65052,607.5800093,4782.55412,1193.041335,188.3523464,1588.601082,2331.95532,1972.797587,4264.017005,14691.07672,5687.910534,14313.31828,2747.866502,3429.862534,5350.184405,11040.63515,13251.79987,15025.34102
W_501C6,0,0,50.00417367,543.4701822,170.1876752,1128.208093,3380.389488,3733.763199,4888.879713,1485.796773,2375.462664,5837.674103,5221.878866,1900.740097,4136.702447,6477.342058,4554.605499,2994.888193,7172.39591,8122.547943,1181.585602,607.5205505,1761.200143,3595.96737,227.6480236,4493.557801,5125.902412,2375.462664,4162.405176,5917.735412,5533.700767,6612.231011,3219.672283,2804.091428,7315.077272,8582.74604,15818.75629,1165.48217,609.9319362,1581.680736,1971.337543,4788.301806,189.0196065,5701.212795,3434.288914,4263.478573,2333.032185,2734.567544,10933.46062,5126.523426,6173.408362,7461.147787,6892.840332,7963.05625
W_501,0.036426525,0,49.99986952,446.2054534,11.12871019,892.4109067,2537.573849,3458.062534,4786.96068,8750.112724,6250.080517,1325.096084,11250.14493,3825.128291,13750.17714,16250.20934,5202.201298,5673.012795,18750.24155,14749.66348,446.2054534,892.4109067,26.85887283,3586.460565,4452.864842,1727.444047,2462.493868,4082.598219,2131.080284,5150.131883,1325.096084,7758.633504,6250.080517,8750.112724,10862.17279,13965.57664,2794.819154,892.4109067,26.85887283,446.2054534,4528.05383,1489.470007,3967.198548,2462.493868,3610.547996,15995.08804,5698.348861,3078.834145,2085.012908,6257.5426,7980.715521,15067.72856,10194.25198,4962.526075
W_502C3,0,0,59.9953982,545.7197078,164.8363809,4888.129871,1132.631169,3467.694864,3847.570694,1551.878651,5830.007218,3065.138795,2112.885884,2712.505017,5220.058765,4550.790224,6473.602759,8118.1579,4178.231133,7480.90133,1212.352241,610.3745741,227.7471216,1812.869863,3588.392977,4508.673556,3960.093218,2195.939953,5925.247043,5107.526331,5543.712972,6611.768553,3219.510423,2598.519145,7513.854732,16332.57633,15826.09284,610.3745741,1210.608115,4794.155197,1975.142908,1583.84768,188.408502,4253.796694,5704.156007,2746.746694,3701.041025,14825.11012,2330.44903,5126.979277,6892.787479,10878.34229,8892.850241,6162.372143
W_502C6,0,0,59.99880989,539.7507024,168.694598,1133.90623,5030.550275,3734.404033,1709.847538,3369.762875,5832.362448,2111.036054,4128.784513,6477.143862,2681.718558,4572.832932,5398.402209,8118.31976,8643.179329,7165.921504,1215.136896,572.8395388,1831.074173,3578.159452,230.3534001,4589.471494,4169.636029,2170.217405,5737.42322,5087.531649,6598.826349,3216.11136,7305.23023,15802.8048,16369.36483,2594.789755,8572.509212,612.6274029,1186.424889,1576.970276,2008.469579,4797.527834,210.5899472,5701.351532,4254.189783,2749.772487,3431.071531,2340.841111,6906.482829,3842.192974,6251.012039,5195.561729,10907.53987,7445.549755
W_502,0,0,60.00166691,445.7925449,16.7277496,891.5817864,2710.608941,5716.427648,5199.39352,4813.542078,2276.430687,3414.571707,1817.699241,3070.437237,3768.014785,1233.48655,7967.888931,10244.47157,14795.41044,13414.44618,445.7925449,891.5817864,33.45219593,5638.021276,4503.73517,1233.48655,1772.728549,3769.752304,5198.197737,3414.571707,4161.939415,7757.421205,2938.422128,10859.72177,15904.46288,6437.141286,13963.58808,445.7925449,16.72444633,5704.449998,891.5817864,4789.979867,4353.687521,1511.393797,3610.914658,2813.806339,5185.308385,6259.478315,15997.8727,19222.03082,10136.37542,16526.19409,8044.141571,14580.33465
W_503,0,0,70.19250509,445.5150703,40.77884455,890.9838949,5198.983915,2710.932661,4814.830352,1817.775216,5828.144174,3462.663987,2279.344169,3065.076033,6272.648445,3793.661359,7041.817722,7978.641069,10255.56725,12464.85901,445.4919475,20.38777064,890.9838949,4592.355247,5924.090899,5166.661436,1817.775216,1293.513538,3581.78644,6437.531071,5588.231116,2152.885157,3957.559612,13958.67612,3103.20896,7754.144363,2653.855492,81.55438583,2622.639608,4814.830352,445.5150703,4429.044976,3109.12181,890.9838949,1293.513538,5697.437159,5183.5048,6253.152556,8032.999648,3604.321335,15993.56523,14826.78158,16518.1176,19265.50513
